251. E1/E2 	9 / 0	22204,5823 ms 21775/349
252. E1/E2 	17 / 0	22262,1322 ms 21831/349
253. E1/E2 	24 / 0	22040,7956 ms 21615/344
254. E1/E2 	10 / 0	22158,4183 ms 21734/344
255. E1/E2 	90 / 0	22064,8214 ms 21640/339
256. E1/E2 	44 / 0	22298,7963 ms 21875/339
257. E1/E2 	8 / 0	22382,3606 ms 21955/346
258. E1/E2 	38 / 0	22341,239 ms 21910/346
259. E1/E2 	28 / 0	22184,2118 ms 21754/347
260. E1/E2 	12 / 0	22212,8258 ms 21787/343
261. E1/E2 	2 / 0	22169,0999 ms 21749/339
262. E1/E2 	22 / 0	22089,371 ms 21670/338
263. E1/E2 	8 / 0	22348,3248 ms 21919/348
264. E1/E2 	18 / 0	22142,5512 ms 21713/346
265. E1/E2 	6 / 0	22142,5253 ms 21717/345
266. E1/E2 	2 / 0	22204,8627 ms 21779/344
267. E1/E2 	4 / 0	22286,5154 ms 21857/348
268. E1/E2 	155 / 0	22635,1575 ms 22184/355
269. E1/E2 	45 / 0	22144,1413 ms 21718/341
270. E1/E2 	6 / 0	22135,5162 ms 21715/339
271. E1/E2 	28 / 0	22095,0193 ms 21678/336
272. E1/E2 	19 / 0	22181,9132 ms 21758/342
273. E1/E2 	18 / 0	22356,216 ms 21924/349
274. E1/E2 	36 / 0	22158,7763 ms 21732/343
275. E1/E2 	8 / 0	22091,8444 ms 21671/342
276. E1/E2 	32 / 0	22175,5914 ms 21750/344
277. E1/E2 	4 / 0	21969,9575 ms 21553/338
278. E1/E2 	2 / 0	22073,3985 ms 21659/336
279. E1/E2 	10 / 0	22054,6371 ms 21637/337
280. E1/E2 	14 / 0	22044,1009 ms 21629/335
281. E1/E2 	6 / 0	22060,7762 ms 21642/340
282. E1/E2 	2 / 0	22017,5966 ms 21598/340
283. E1/E2 	12 / 0	22053,7536 ms 21633/341
284. E1/E2 	18 / 0	22116,72 ms 21690/345
285. E1/E2 	2 / 0	22012,4351 ms 21592/341
286. E1/E2 	24 / 0	22055,3043 ms 21637/338
287. E1/E2 	2 / 0	21913,5349 ms 21503/333
288. E1/E2 	6 / 0	22195,7209 ms 21776/339
289. E1/E2 	2 / 0	21950,345 ms 21540/333
290. E1/E2 	16 / 0	22139,3617 ms 21711/347
291. E1/E2 	6 / 0	21944,2182 ms 21530/334
292. E1/E2 	8 / 0	21973,338 ms 21563/332
293. E1/E2 	2 / 0	22041,4912 ms 21625/337
294. E1/E2 	36 / 0	22185,4045 ms 21757/345
295. E1/E2 	2 / 0	22271,809 ms 21841/349
296. E1/E2 	6 / 0	22146,1296 ms 21722/344
297. E1/E2 	22 / 0	22308,6983 ms 21876/349
298. E1/E2 	19 / 0	22394,8315 ms 21958/352
299. E1/E2 	41 / 0	22207,6051 ms 21774/349
300. E1/E2 	16 / 0	22367,9314 ms 21936/347
301. E1/E2 	18 / 0	22333,4785 ms 21904/345
302. E1/E2 	16 / 0	22246,5704 ms 21822/342
303. E1/E2 	12 / 0	22479,7496 ms 22051/345
304. E1/E2 	4 / 0	22118,5838 ms 21691/347
305. E1/E2 	2 / 0	22052,581 ms 21631/342
306. E1/E2 	28 / 0	22422,3084 ms 21986/352
307. E1/E2 	23 / 0	22228,6512 ms 21801/346
308. E1/E2 	12 / 0	22199,2055 ms 21774/344
309. E1/E2 	4 / 0	22386,816 ms 21958/345
310. E1/E2 	12 / 0	22227,176 ms 21800/345
311. E1/E2 	80 / 0	22370,0485 ms 21933/347
312. E1/E2 	55 / 0	22337,6116 ms 21908/344
313. E1/E2 	30 / 0	22163,1328 ms 21738/344
314. E1/E2 	36 / 0	21999,478 ms 21574/342
315. E1/E2 	28 / 0	17793,7527 ms 17428/293
316. E1/E2 	37 / 0	10403,2101 ms 10151/200
317. E1/E2 	2 / 0	10274,5817 ms 10024/199
318. E1/E2 	6 / 0	10236,7856 ms 9992/194
319. E1/E2 	6 / 0	10339,4732 ms 10094/195
320. E1/E2 	10 / 0	10138,392 ms 9896/193
321. E1/E2 	6 / 0	10133,159 ms 9892/192
322. E1/E2 	2 / 0	10102,078 ms 9865/188
323. E1/E2 	2 / 0	10101,4278 ms 9862/190
324. E1/E2 	2 / 0	10119,8356 ms 9879/191
325. E1/E2 	4 / 0	10188,652 ms 9951/189
326. E1/E2 	10 / 0	10107,8276 ms 9871/188
327. E1/E2 	6 / 0	10123,5922 ms 9883/190
