325. E1/E2 	670 / 1	10663,0848 ms 10317/208
326. E1/E2 	709 / 2	10846,4589 ms 10431/212
327. E1/E2 	634 / 2	10804,7652 ms 10439/211
328. E1/E2 	596 / 0	10621,1167 ms 10362/201
329. E1/E2 	587 / 1	10664,9825 ms 10377/206
330. E1/E2 	1263 / 1	10695,2666 ms 10393/208
331. E1/E2 	824 / 0	10599,9451 ms 10332/205
332. E1/E2 	758 / 0	10977,3512 ms 10704/211
333. E1/E2 	551 / 0	10710,0372 ms 10440/212
334. E1/E2 	504 / 2	10796,8475 ms 10469/224
335. E1/E2 	709 / 0	10754,7348 ms 10482/210
336. E1/E2 	641 / 0	10763,771 ms 10492/211
337. E1/E2 	777 / 1	10784,7148 ms 10488/210
338. E1/E2 	722 / 2	10791,9915 ms 10467/213
339. E1/E2 	572 / 1	10711,3237 ms 10412/216
340. E1/E2 	616 / 0	10592,4434 ms 10329/204
341. E1/E2 	770 / 2	10775,3745 ms 10452/214
342. E1/E2 	905 / 1	10666,7266 ms 10319/210
343. E1/E2 	622 / 1	10720,2789 ms 10375/211
344. E1/E2 	509 / 0	10582,8819 ms 10318/207
345. E1/E2 	533 / 2	10784,9661 ms 10413/221
346. E1/E2 	717 / 1	10617,8404 ms 10327/207
347. E1/E2 	878 / 1	10759,8371 ms 10461/213
348. E1/E2 	749 / 0	12203,681 ms 11907/227
349. E1/E2 	572 / 1	23006,7098 ms 22477/367
350. E1/E2 	521 / 0	22962,6784 ms 22470/368
351. E1/E2 	444 / 1	23753,9016 ms 23076/390
352. E1/E2 	514 / 1	23452,8617 ms 22794/383
353. E1/E2 	564 / 0	23254,5956 ms 22744/384
354. E1/E2 	584 / 2	23604,4541 ms 22789/391
355. E1/E2 	578 / 0	23117,9956 ms 22621/370
356. E1/E2 	857 / 0	23205,6166 ms 22693/369
357. E1/E2 	543 / 3	23266,7587 ms 22652/372
358. E1/E2 	550 / 1	23675,202 ms 23123/388
359. E1/E2 	614 / 0	23996,4935 ms 23465/401
360. E1/E2 	615 / 0	23092,995 ms 22594/369
361. E1/E2 	580 / 0	23065,9556 ms 22571/367
362. E1/E2 	547 / 0	23289,2181 ms 22787/376
363. E1/E2 	462 / 1	23173,475 ms 22547/373
364. E1/E2 	479 / 2	22735,6586 ms 22193/356
365. E1/E2 	403 / 0	22885,5632 ms 22405/365
366. E1/E2 	417 / 2	22821,2239 ms 22261/363
367. E1/E2 	621 / 2	15737,7706 ms 15165/272
368. E1/E2 	518 / 0	10627,9201 ms 10363/207
369. E1/E2 	470 / 0	10659,0039 ms 10394/207
370. E1/E2 	379 / 0	10699,402 ms 10434/208
371. E1/E2 	412 / 0	10584,0567 ms 10319/208
372. E1/E2 	330 / 1	10716,329 ms 10378/209
373. E1/E2 	500 / 1	10743,5575 ms 10409/206
374. E1/E2 	554 / 0	10628,2345 ms 10363/207
375. E1/E2 	536 / 1	10881,1628 ms 10534/214
376. E1/E2 	420 / 0	10647,3508 ms 10382/209
377. E1/E2 	953 / 1	10799,0743 ms 10494/218
378. E1/E2 	529 / 1	10662,0357 ms 10373/208
379. E1/E2 	755 / 3	10809,1855 ms 10457/224
380. E1/E2 	405 / 1	10860,2328 ms 10518/212
381. E1/E2 	445 / 1	11201,8624 ms 10848/220
382. E1/E2 	364 / 1	12125,7195 ms 11801/235
383. E1/E2 	429 / 0	11612,6286 ms 11327/223
384. E1/E2 	658 / 0	11430,6387 ms 11143/222
385. E1/E2 	684 / 0	10989,1189 ms 10714/211
386. E1/E2 	455 / 0	10980,3282 ms 10710/210
387. E1/E2 	504 / 0	10661,8247 ms 10396/205
388. E1/E2 	283 / 0	11672,6622 ms 11384/227
