117. E1/E2 	302 / 0	6309,9217 ms 2328/3852	P: 0,1112-0,1161-0,3536
118. E1/E2 	236 / 0	6295,5714 ms 2333/3866	P: 0,1112-0,1161-0,3536
119. E1/E2 	254 / 0	6285,9277 ms 2337/3841	P: 0,1112-0,1161-0,3536
120. E1/E2 	243 / 1	6272,7978 ms 2317/3819	P: 0,1112-0,1161-0,3536
121. E1/E2 	244 / 0	6322,4173 ms 2331/3890	P: 0,1112-0,1161-0,3536
122. E1/E2 	248 / 0	6142,8888 ms 2251/3790	P: 0,1112-0,1161-0,3536
123. E1/E2 	280 / 0	6452,345 ms 2345/3987	P: 0,1112-0,1161-0,3536
124. E1/E2 	227 / 0	6393,3886 ms 2334/3957	P: 0,1112-0,1161-0,3536
125. E1/E2 	218 / 0	6348,6245 ms 2336/3913	P: 0,1112-0,1161-0,3536
126. E1/E2 	249 / 0	6186,8735 ms 2362/3718	P: 0,1112-0,1161-0,3536
127. E1/E2 	187 / 1	6321,4137 ms 2348/3851	P: 0,1112-0,1161-0,3536
128. E1/E2 	205 / 0	6374,9699 ms 2341/3940	P: 0,1112-0,1161-0,3536
129. E1/E2 	213 / 0	6364,7954 ms 2344/3925	P: 0,1112-0,1161-0,3536
130. E1/E2 	199 / 1	6332,3298 ms 2334/3866	P: 0,1112-0,1161-0,3536
131. E1/E2 	228 / 0	6329,6286 ms 2332/3897	P: 0,1112-0,1161-0,3536
132. E1/E2 	216 / 0	6361,5171 ms 2339/3925	P: 0,1112-0,1161-0,3536
133. E1/E2 	239 / 3	6496,5429 ms 2330/3937	P: 0,1112-0,1161-0,3536
134. E1/E2 	192 / 0	6297,9701 ms 2332/3880	P: 0,1112-0,1161-0,3536
135. E1/E2 	199 / 0	6320,9584 ms 2331/3902	P: 0,1112-0,1161-0,3536
136. E1/E2 	186 / 0	6258,8566 ms 2342/3839	P: 0,1112-0,1161-0,3536
137. E1/E2 	192 / 0	6485,1824 ms 2360/4038	P: 0,1112-0,1161-0,3536
138. E1/E2 	178 / 0	6270,9403 ms 2318/3878	P: 0,1112-0,1161-0,3536
139. E1/E2 	200 / 0	6324,0946 ms 2325/3910	P: 0,1112-0,1161-0,3536
140. E1/E2 	171 / 0	6301,2593 ms 2333/3890	P: 0,1112-0,1161-0,3536
141. E1/E2 	234 / 0	6354,6094 ms 2326/3927	P: 0,1112-0,1161-0,3536
142. E1/E2 	188 / 0	6337,9697 ms 2328/3927	P: 0,1112-0,1161-0,3536
143. E1/E2 	172 / 1	6459,133 ms 2342/3990	P: 0,1112-0,1161-0,3536
144. E1/E2 	224 / 0	6355,1419 ms 2338/3920	P: 0,1112-0,1161-0,3536
145. E1/E2 	173 / 1	6230,9341 ms 2346/3769	P: 0,1112-0,1161-0,3536
146. E1/E2 	186 / 0	6413,431 ms 2333/3997	P: 0,1112-0,1161-0,3536
147. E1/E2 	190 / 0	6397,9868 ms 2334/3977	P: 0,1112-0,1161-0,3536
148. E1/E2 	147 / 0	6306,2968 ms 2330/3910	P: 0,1112-0,1161-0,3536
149. E1/E2 	197 / 0	6498,9111 ms 2340/4071	P: 0,1112-0,1161-0,3536
150. E1/E2 	157 / 0	6311,6695 ms 2330/3911	P: 0,1112-0,1161-0,3536
