370 - 52 - 6479,1765 ms
371 - 39 - 6468,3251 ms
372 - 13 - 6475,1912 ms
373 - 7 - 6476,1128 ms
374 - 10 - 6484,0903 ms
375 - 40 - 6513,4047 ms
376 - 45 - 6502,1845 ms
377 - 41 - 6505,5328 ms
378 - 72 - 6476,6227 ms
379 - 26 - 6498,6216 ms
380 - 16 - 6467,434 ms
381 - 42 - 6482,7089 ms
382 - 63 - 6485,2339 ms
383 - 35 - 6469,0186 ms
384 - 29 - 6495,0421 ms
385 - 21 - 6487,2091 ms
386 - 33 - 6498,4757 ms
387 - 35 - 6482,3514 ms
388 - 16 - 6465,8826 ms
389 - 30 - 6482,9741 ms
390 - 24 - 6485,3317 ms
391 - 48 - 6477,7243 ms
392 - 46 - 6476,0871 ms
393 - 43 - 6473,2903 ms
394 - 32 - 6482,8561 ms
395 - 34 - 6499,9725 ms
396 - 33 - 6516,5855 ms
397 - 30 - 6467,4995 ms
398 - 27 - 6446,0651 ms
399 - 6 - 6502,7941 ms
400 - 33 - 6514,8316 ms
401 - 65 - 6483,5639 ms
402 - 36 - 6466,3816 ms
403 - 26 - 6511,2139 ms
404 - 46 - 6486,3512 ms
405 - 41 - 6500,5434 ms
406 - 47 - 6500,8746 ms
407 - 36 - 6450,5594 ms
408 - 50 - 6509,1892 ms
409 - 73 - 6470,3791 ms
410 - 34 - 6501,8512 ms
411 - 33 - 6465,2748 ms
412 - 36 - 6466,9069 ms
413 - 38 - 6480,4064 ms
414 - 18 - 6484,8667 ms
415 - 4 - 6433,8557 ms
416 - 56 - 6514,7459 ms
417 - 28 - 6484,4266 ms
418 - 44 - 6464,8898 ms
419 - 20 - 6471,0379 ms
420 - 30 - 6476,5702 ms
421 - 29 - 6478,6888 ms
422 - 38 - 6453,9336 ms
423 - 48 - 6499,6645 ms
424 - 38 - 6482,2461 ms
425 - 56 - 6467,2167 ms
426 - 41 - 6533,0319 ms
427 - 14 - 6502,5439 ms
428 - 16 - 6447,2944 ms
429 - 19 - 6526,359 ms
430 - 27 - 6489,063 ms
431 - 32 - 6503,7559 ms
432 - 40 - 6495,4824 ms
433 - 20 - 6431,1013 ms
434 - 37 - 6479,6619 ms
435 - 15 - 6486,2748 ms
436 - 23 - 6501,6901 ms
437 - 26 - 6491,6253 ms
438 - 17 - 6454,6562 ms
439 - 15 - 6494,6451 ms
440 - 28 - 6493,4694 ms
441 - 33 - 6495,2712 ms
442 - 30 - 6467,5107 ms
443 - 22 - 6470,7991 ms
444 - 41 - 6459,7515 ms
445 - 24 - 6451,4456 ms
446 - 18 - 6505,6352 ms
447 - 31 - 6470,3184 ms
448 - 26 - 6471,5363 ms
449 - 8 - 6476,1734 ms
450 - 43 - 6474,1199 ms
451 - 18 - 6480,2971 ms
452 - 18 - 6498,6907 ms
453 - 24 - 6488,9386 ms
454 - 31 - 6531,1453 ms
455 - 36 - 6478,2134 ms
456 - 36 - 6480,8491 ms
457 - 38 - 6501,6617 ms
458 - 25 - 6487,2753 ms
459 - 20 - 6463,1373 ms
460 - 45 - 6486,2194 ms
461 - 25 - 6486,6454 ms
462 - 35 - 6473,2029 ms
463 - 20 - 6467,4545 ms
464 - 32 - 6453,1768 ms
465 - 8 - 6482,0151 ms
466 - 38 - 6446,1305 ms
467 - 9 - 6488,725 ms
468 - 23 - 6475,4797 ms
469 - 15 - 6452,4494 ms
