249. E1/E2 	7048 / 510	140101 ms 119978/377 25-0-87	E: 1551 / 731
250. E1/E2 	7096 / 518	147100 ms 123873/474 26-0-90	E: 1463 / 619
251. E1/E2 	6948 / 543	145281 ms 123990/478 26-0-95	E: 1407 / 610
252. E1/E2 	6932 / 524	144901 ms 122953/422 26-0-90	E: 1710 / 656
253. E1/E2 	7035 / 523	147994 ms 124955/488 26-0-91	E: 1525 / 643
254. E1/E2 	6879 / 536	146073 ms 125038/488 26-0-93	E: 1344 / 665
255. E1/E2 	7035 / 498	147472 ms 126259/489 26-0-90	E: 1286 / 650
256. E1/E2 	7005 / 545	147557 ms 124586/440 25-0-94	E: 1352 / 659
257. E1/E2 	6821 / 505	145860 ms 125135/439 24-0-86	E: 1338 / 667
258. E1/E2 	6808 / 507	148909 ms 127255/515 25-0-90	E: 1315 / 611
259. E1/E2 	6912 / 486	152954 ms 130546/591 26-0-89	E: 1443 / 672
260. E1/E2 	6941 / 499	151462 ms 127880/532 25-0-90	E: 1391 / 679
261. E1/E2 	6862 / 493	144359 ms 123108/433 24-0-85	E: 1390 / 625
262. E1/E2 	6936 / 506	144033 ms 123004/386 24-0-86	E: 1542 / 774
263. E1/E2 	6842 / 489	148580 ms 126457/447 25-0-84	E: 1321 / 618
264. E1/E2 	6875 / 506	142930 ms 121677/381 24-0-86	E: 1224 / 606
265. E1/E2 	6882 / 494	147055 ms 126701/504 25-0-88	E: 1404 / 662
266. E1/E2 	6933 / 490	148306 ms 125714/475 25-0-87	E: 1362 / 627
267. E1/E2 	6885 / 495	146261 ms 124346/454 24-0-86	E: 1315 / 638
268. E1/E2 	6911 / 503	144040 ms 124181/418 25-0-87	E: 1439 / 666
269. E1/E2 	6746 / 503	147920 ms 125495/430 24-0-88	E: 1535 / 643
270. E1/E2 	6889 / 494	145109 ms 123634/417 24-0-86	E: 1611 / 648
271. E1/E2 	6810 / 487	144595 ms 124075/421 24-0-84	E: 2364 / 1043
272. E1/E2 	6829 / 466	145510 ms 123488/423 24-0-81	E: 1253 / 632
273. E1/E2 	6799 / 475	145185 ms 123659/412 24-0-83	E: 1590 / 719
274. E1/E2 	6782 / 491	143815 ms 123916/418 24-0-84	E: 1388 / 662
275. E1/E2 	6683 / 516	145991 ms 123170/418 23-0-89	E: 1335 / 644
276. E1/E2 	6752 / 494	143667 ms 123301/428 24-0-86	E: 1481 / 716
277. E1/E2 	6917 / 481	144101 ms 122975/419 24-0-82	E: 1547 / 764
278. E1/E2 	6682 / 494	144760 ms 122858/419 24-0-86	E: 1644 / 737
279. E1/E2 	6826 / 503	142480 ms 122445/414 24-0-86	E: 1395 / 578
280. E1/E2 	6757 / 490	145785 ms 123756/431 24-0-83	E: 1558 / 746
281. E1/E2 	6807 / 487	143276 ms 122661/421 24-0-83	E: 1747 / 817
282. E1/E2 	6829 / 474	144298 ms 124019/431 25-0-82	E: 1460 / 682
283. E1/E2 	6698 / 478	146513 ms 123662/429 24-0-82	E: 1464 / 696
284. E1/E2 	6743 / 503	142947 ms 122623/416 24-0-85	E: 1703 / 731
285. E1/E2 	6737 / 505	144809 ms 123356/426 24-0-86	E: 1585 / 809
286. E1/E2 	6631 / 498	144343 ms 122004/432 23-0-85	E: 1294 / 615
287. E1/E2 	6711 / 470	143371 ms 123203/430 24-0-83	E: 1597 / 630
288. E1/E2 	6642 / 521	146424 ms 124223/426 24-0-91	E: 2244 / 969
289. E1/E2 	6715 / 462	144832 ms 122640/429 24-0-78	E: 2338 / 1034
290. E1/E2 	6709 / 473	144275 ms 124121/435 24-0-82	E: 1372 / 640
291. E1/E2 	6656 / 477	146752 ms 123842/438 24-0-84	E: 1465 / 682
292. E1/E2 	6639 / 508	142674 ms 122545/395 24-0-88	E: 1722 / 793
293. E1/E2 	6907 / 538	139882 ms 119043/343 25-0-91	E: 1429 / 652
294. E1/E2 	7327 / 618	141495 ms 120055/384 27-0-104	E: 1789 / 772
295. E1/E2 	7341 / 607	138156 ms 119142/349 25-0-103	E: 1757 / 788
296. E1/E2 	7121 / 573	141347 ms 119376/368 25-0-99	E: 1474 / 732
297. E1/E2 	7233 / 556	138974 ms 118718/355 25-0-95	E: 1496 / 768
298. E1/E2 	7249 / 621	139029 ms 119079/346 25-0-106	E: 1583 / 700
299. E1/E2 	7711 / 689	141124 ms 119033/347 27-0-117	E: 1800 / 771
300. E1/E2 	7427 / 602	138685 ms 118967/357 26-0-101	E: 1733 / 733
301. E1/E2 	7256 / 572	139725 ms 118085/344 25-0-98	E: 1394 / 698
302. E1/E2 	7213 / 579	137735 ms 117516/344 25-0-97	E: 1836 / 794
