149. E1/E2 	18246 / 2984	39450 ms 27164/440 1416-5331-435	E: 2943 / 1806
150. E1/E2 	18219 / 2961	39902 ms 27795/449 1329-5170-410	E: 3140 / 1893
151. E1/E2 	18134 / 3019	40193 ms 27679/452 1369-5317-665	E: 3275 / 2239
152. E1/E2 	17991 / 2961	39897 ms 27883/455 1298-5088-436	E: 3271 / 1922
153. E1/E2 	18119 / 3003	39587 ms 27360/447 1385-5307-441	E: 2836 / 1919
154. E1/E2 	18098 / 2925	40795 ms 27795/450 1340-5170-1340	E: 3012 / 1925
155. E1/E2 	18055 / 3000	40120 ms 27608/446 1347-5291-445	E: 3567 / 2508
156. E1/E2 	18091 / 2980	41217 ms 27767/455 1348-5239-1048	E: 3806 / 2260
157. E1/E2 	17952 / 3037	40327 ms 28118/456 1300-5261-213	E: 3396 / 2034
158. E1/E2 	18081 / 2943	39767 ms 27753/452 1311-5089-431	E: 3199 / 1936
159. E1/E2 	18031 / 2889	39333 ms 27459/443 1372-5134-206	E: 3018 / 1921
160. E1/E2 	17927 / 3024	39560 ms 27312/437 1358-5322-441	E: 2931 / 1823
161. E1/E2 	17845 / 2920	41031 ms 28159/456 1334-5145-1080	E: 2974 / 2015
162. E1/E2 	18008 / 2963	41260 ms 28740/467 1308-5208-856	E: 3332 / 1928
163. E1/E2 	17978 / 2967	41285 ms 28750/476 1294-5245-653	E: 2968 / 2244
164. E1/E2 	17955 / 2982	41013 ms 28434/464 1311-5253-872	E: 3554 / 2099
165. E1/E2 	17835 / 2919	40423 ms 28027/452 1295-5073-867	E: 3199 / 2089
166. E1/E2 	17758 / 2923	39558 ms 27292/439 1326-5113-645	E: 3348 / 2038
167. E1/E2 	17892 / 2817	39472 ms 27313/438 1349-4982-658	E: 3039 / 2070
168. E1/E2 	17797 / 2885	40408 ms 27963/454 1286-5018-624	E: 3101 / 1919
169. E1/E2 	17859 / 2854	40897 ms 28646/463 1242-4878-811	E: 3417 / 1928
170. E1/E2 	17700 / 2868	39491 ms 27495/448 1308-5005-436	E: 2906 / 2052
171. E1/E2 	17670 / 2864	39217 ms 27381/439 1293-4962-438	E: 2629 / 1691
172. E1/E2 	17714 / 2901	40719 ms 27786/455 1313-5087-878	E: 2815 / 1951
173. E1/E2 	17727 / 2894	40734 ms 28075/458 1288-5044-1091	E: 3482 / 2079
174. E1/E2 	17714 / 2883	39402 ms 27156/445 1350-5090-663	E: 3077 / 1846
175. E1/E2 	17673 / 2819	39485 ms 27749/451 1314-4965-224	E: 2862 / 1798
176. E1/E2 	17616 / 2867	40211 ms 27788/444 1276-4979-845	E: 2911 / 1771
177. E1/E2 	17511 / 2929	40171 ms 28104/447 1291-5180-438	E: 3152 / 1885
178. E1/E2 	17475 / 2818	38813 ms 27152/443 1349-5029-217	E: 3361 / 1972
179. E1/E2 	17564 / 2895	39454 ms 27354/447 1343-5120-440	E: 2650 / 1747
