97. E1/E2 	10093 / 642 (1,0000)	429286 ms 330957/3782 2869-8223-83250	E: 0 / 0
98. E1/E2 	10050 / 647 (1,0000)	429054 ms 330403/3768 2830-8269-83579	E: 0 / 0
99. E1/E2 	10109 / 618 (1,0000)	423971 ms 329884/3756 2857-7887-79383	E: 0 / 0
100. E1/E2 	10093 / 622 (1,0000)	425820 ms 330501/3770 2842-7964-80539	E: 0 / 0
101. E1/E2 	10044 / 628 (1,0000)	427675 ms 331286/3798 2853-8041-81481	E: 0 / 0
102. E1/E2 	10007 / 638 (1,0000)	424873 ms 328569/3717 2791-8127-81466	E: 0 / 0
103. E1/E2 	9994 / 641 (1,0000)	429999 ms 331406/3788 2841-8213-83545	E: 0 / 0
104. E1/E2 	9870 / 592 (1,0000)	422879 ms 331575/3839 2796-7568-76897	E: 0 / 0
105. E1/E2 	10070 / 619 (1,0000)	437482 ms 342214/4025 2628-8187-80202	E: 0 / 0
106. E1/E2 	9974 / 597 (1,0000)	439694 ms 345708/4110 2535-7896-79197	E: 0 / 0
107. E1/E2 	10198 / 595 (1,0000)	439367 ms 345512/4106 2605-7842-79055	E: 0 / 0
108. E1/E2 	10050 / 612 (1,0000)	437433 ms 342107/4019 2642-8034-80393	E: 0 / 0
109. E1/E2 	10042 / 615 (1,0000)	447067 ms 350807/4201 2439-8320-81054	E: 0 / 0
110. E1/E2 	9942 / 583 (1,0000)	434126 ms 342732/4059 2610-7638-76845	E: 0 / 0
111. E1/E2 	10023 / 583 (1,0000)	456086 ms 363477/4472 2210-8144-77531	E: 0 / 0
112. E1/E2 	9911 / 618 (1,0000)	436370 ms 340810/4026 2627-8063-80606	E: 0 / 0
113. E1/E2 	9826 / 607 (1,0000)	442319 ms 347541/4128 2472-8103-79836	E: 0 / 0
114. E1/E2 	9983 / 588 (1,0000)	444747 ms 352104/4238 2444-7992-77723	E: 0 / 0
115. E1/E2 	10040 / 613 (1,0000)	440164 ms 344406/4102 2618-8084-80712	E: 0 / 0
116. E1/E2 	9806 / 570 (1,0000)	436753 ms 346759/4141 2508-7573-75529	E: 0 / 0
117. E1/E2 	9917 / 639 (1,0000)	452925 ms 352749/4242 2376-8710-84600	E: 0 / 0
118. E1/E2 	9899 / 562 (1,0000)	431150 ms 342825/4059 2607-7353-74076	E: 0 / 0
119. E1/E2 	9904 / 581 (1,0000)	433509 ms 342761/4042 2595-7587-76294	E: 0 / 0
120. E1/E2 	9763 / 610 (1,0000)	436579 ms 341352/4016 2593-7983-80409	E: 0 / 0
121. E1/E2 	9843 / 590 (1,0000)	435965 ms 343720/4063 2572-7781-77597	E: 0 / 0
122. E1/E2 	9846 / 585 (1,0000)	431418 ms 339856/3995 2652-7611-77075	E: 0 / 0
