	AN: 156	R: 4096/236	P: 0,4995-0,6013-0,6519
126. E1/E2 	101 / 8	34,7294 ms 
	AN: 156	R: 4096/241	P: 0,4849-0,5750-0,6519
127. E1/E2 	116 / 2	35,6693 ms 
	AN: 156	R: 4096/235	P: 0,4995-0,6013-0,6519
128. E1/E2 	95 / 2	36,2332 ms 
	AN: 156	R: 4096/233	P: 0,4995-0,6012-0,6519
129. E1/E2 	105 / 1	40,303 ms 
130. E1/E2 	88 / 3	33,0557 ms 
	AN: 156	R: 4096/235	P: 0,4995-0,5997-0,6519
131. E1/E2 	85 / 2	34,4233 ms 
	AN: 156	R: 4096/230	P: 0,4995-0,6013-0,6519
132. E1/E2 	107 / 2	34,245 ms 
	AN: 156	R: 4096/231	P: 0,4995-0,6004-0,6519
133. E1/E2 	104 / 0	39,9129 ms 
134. E1/E2 	71 / 3	35,2845 ms 
	AN: 156	R: 4096/234	P: 0,4995-0,6001-0,6519
135. E1/E2 	99 / 2	36,9787 ms 
	AN: 156	R: 4096/229	P: 0,4995-0,6012-0,6519
136. E1/E2 	84 / 3	35,5569 ms 
	AN: 156	R: 4096/235	P: 0,4995-0,6012-0,6519
137. E1/E2 	69 / 3	35,1142 ms 
	AN: 155	R: 4096/233	P: 0,4995-0,6013-0,6519
138. E1/E2 	91 / 3	35,2215 ms 
	AN: 155	R: 4096/232	P: 0,4995-0,6013-0,6519
139. E1/E2 	91 / 5	34,1846 ms 
	AN: 155	R: 4096/238	P: 0,4995-0,6013-0,6519
140. E1/E2 	76 / 1	33,3986 ms 
141. E1/E2 	90 / 1	40,9897 ms 
142. E1/E2 	88 / 4	36,1533 ms 
	AN: 155	R: 4096/237	P: 0,4878-0,5989-0,6519
143. E1/E2 	78 / 1	32,6049 ms 
144. E1/E2 	77 / 0	34,945 ms 
145. E1/E2 	75 / 1	35,7911 ms 
146. E1/E2 	84 / 3	34,3727 ms 
	AN: 155	R: 4096/236	P: 0,4736-0,6011-0,6519
147. E1/E2 	95 / 2	34,7666 ms 
	AN: 155	R: 4096/233	P: 0,4531-0,6007-0,6519
148. E1/E2 	104 / 3	36,6427 ms 
	AN: 155	R: 4096/232	P: 0,4995-0,6013-0,6519
149. E1/E2 	99 / 5	35,0213 ms 
	AN: 155	R: 4096/236	P: 0,4902-0,6010-0,6519
150. E1/E2 	89 / 4	34,9903 ms 
	AN: 155	R: 4096/236	P: 0,4995-0,6013-0,6519
151. E1/E2 	91 / 2	34,0306 ms 
	AN: 155	R: 4096/233	P: 0,4995-0,6013-0,6519
152. E1/E2 	97 / 4	35,9937 ms 
	AN: 155	R: 4096/233	P: 0,4995-0,6013-0,6519
153. E1/E2 	80 / 2	35,3101 ms 
	AN: 155	R: 4096/235	P: 0,4995-0,6013-0,6519
154. E1/E2 	84 / 1	40,16 ms 
155. E1/E2 	87 / 1	35,1775 ms 
156. E1/E2 	76 / 0	38,8125 ms 
157. E1/E2 	86 / 4	40,7224 ms 
	AN: 155	R: 4096/238	P: 0,4976-0,6012-0,6519
158. E1/E2 	76 / 3	36,0091 ms 
	AN: 155	R: 4096/238	P: 0,4995-0,6012-0,6519
159. E1/E2 	79 / 1	34,8441 ms 
160. E1/E2 	79 / 2	36,3093 ms 
	AN: 155	R: 4096/232	P: 0,4995-0,6013-0,6519
161. E1/E2 	86 / 2	36,0693 ms 
	AN: 155	R: 4096/232	P: 0,4995-0,6013-0,6519
162. E1/E2 	79 / 1	36,2769 ms 
163. E1/E2 	75 / 3	42,255 ms 
	AN: 155	R: 4096/233	P: 0,4971-0,6012-0,6519
164. E1/E2 	77 / 2	35,8468 ms 
	AN: 155	R: 4096/233	P: 0,4995-0,6013-0,6519
165. E1/E2 	96 / 4	34,1123 ms 
	AN: 155	R: 4096/232	P: 0,4995-0,6013-0,6519
166. E1/E2 	171 / 11	37,3225 ms 
	AN: 155	R: 4096/240	P: 0,4893-0,5923-0,6519
167. E1/E2 	150 / 11	33,9269 ms 
	AN: 155	R: 4096/240	P: 0,4844-0,5884-0,6504
168. E1/E2 	138 / 4	36,4242 ms 
	AN: 155	R: 4096/236	P: 0,4990-0,5985-0,6768
169. E1/E2 	120 / 6	35,9432 ms 
	AN: 154	R: 4096/237	P: 0,4800-0,6058-0,6792
170. E1/E2 	129 / 7	35,6293 ms 
	AN: 154	R: 4096/240	P: 0,4629-0,6002-0,6836
171. E1/E2 	128 / 8	34,4728 ms 
