126. E1/E2 	26 / 0	24,7589 ms 13/11	P: 0,5000-0,6348-1,0000
127. E1/E2 	33 / 1	22,62 ms 11/10	P: 0,5000-0,6348-1,0000
128. E1/E2 	22 / 1	24,0021 ms 13/10	P: 0,5000-0,6348-1,0000
129. E1/E2 	34 / 1	23,6334 ms 12/10	P: 0,5000-0,6348-1,0000
130. E1/E2 	22 / 1	24,2037 ms 13/11	P: 0,5000-0,6348-1,0000
131. E1/E2 	36 / 1	24,7452 ms 14/10	P: 0,5000-0,6348-1,0000
132. E1/E2 	22 / 0	24,2622 ms 13/11	P: 0,5000-0,6348-1,0000
133. E1/E2 	28 / 0	24,2149 ms 13/10	P: 0,5000-0,6348-1,0000
134. E1/E2 	17 / 2	25,1731 ms 14/10	P: 0,5000-0,6346-1,0000
135. E1/E2 	22 / 0	23,4181 ms 12/10	P: 0,5000-0,6358-1,0000
136. E1/E2 	25 / 1	23,6589 ms 13/10	P: 0,5000-0,6358-1,0000
137. E1/E2 	20 / 1	23,6772 ms 12/10	P: 0,5000-0,6358-1,0000
138. E1/E2 	19 / 1	24,6151 ms 13/11	P: 0,5000-0,6358-1,0000
139. E1/E2 	29 / 1	24,5335 ms 13/10	P: 0,5000-0,6353-1,0000
140. E1/E2 	21 / 1	23,3536 ms 12/10	P: 0,5000-0,6368-1,0000
141. E1/E2 	27 / 2	24,68 ms 13/10	P: 0,5000-0,6368-1,0000
142. E1/E2 	28 / 2	25,2231 ms 13/11	P: 0,5000-0,6368-1,0000
143. E1/E2 	52 / 4	25,3816 ms 13/11	P: 0,5000-0,6380-1,0000
144. E1/E2 	38 / 0	23,8002 ms 12/11	P: 0,5000-0,6385-1,0000
145. E1/E2 	37 / 1	25,2602 ms 14/10	P: 0,5000-0,6385-1,0000
146. E1/E2 	34 / 2	25,1415 ms 14/11	P: 0,5000-0,6385-1,0000
147. E1/E2 	30 / 0	23,943 ms 13/10	P: 0,5000-0,6385-1,0000
148. E1/E2 	38 / 1	25,4591 ms 14/11	P: 0,5000-0,6385-1,0000
149. E1/E2 	29 / 1	25,3728 ms 14/10	P: 0,5000-0,6385-1,0000
150. E1/E2 	45 / 1	24,2128 ms 13/10	P: 0,5000-0,6380-1,0000
151. E1/E2 	68 / 3	24,558 ms 13/10	P: 0,5000-0,6391-1,0000
152. E1/E2 	61 / 0	24,0197 ms 13/10	P: 0,5000-0,6391-1,0000
153. E1/E2 	52 / 0	24,2703 ms 13/10	P: 0,5000-0,6391-1,0000
154. E1/E2 	38 / 2	24,6983 ms 14/10	P: 0,5000-0,6391-1,0000
155. E1/E2 	40 / 2	23,7511 ms 12/10	P: 0,5000-0,6391-1,0000
156. E1/E2 	36 / 0	24,2167 ms 13/10	P: 0,5000-0,6391-1,0000
157. E1/E2 	39 / 1	23,8871 ms 12/11	P: 0,5000-0,6391-1,0000
158. E1/E2 	30 / 2	24,1922 ms 13/11	P: 0,5000-0,6391-1,0000
159. E1/E2 	31 / 2	25,5701 ms 14/11	P: 0,5000-0,6391-1,0000
160. E1/E2 	35 / 0	22,9747 ms 12/10	P: 0,5000-0,6391-1,0000
161. E1/E2 	36 / 0	24,1585 ms 13/10	P: 0,5000-0,6391-1,0000
162. E1/E2 	31 / 1	22,897 ms 12/10	P: 0,5000-0,6391-1,0000
163. E1/E2 	28 / 0	24,5915 ms 13/10	P: 0,5000-0,6391-1,0000
164. E1/E2 	28 / 1	24,2236 ms 13/10	P: 0,5000-0,6391-1,0000
165. E1/E2 	27 / 1	23,1027 ms 12/10	P: 0,5000-0,6391-1,0000
166. E1/E2 	29 / 3	24,2466 ms 13/10	P: 0,5000-0,6391-1,0000
167. E1/E2 	35 / 1	24,5755 ms 13/11	P: 0,5000-0,6391-1,0000
168. E1/E2 	28 / 0	23,3662 ms 12/10	P: 0,5000-0,6391-1,0000
169. E1/E2 	35 / 1	24,5343 ms 13/10	P: 0,5000-0,6391-1,0000
170. E1/E2 	21 / 1	23,8602 ms 13/10	P: 0,5000-0,6391-1,0000
171. E1/E2 	25 / 1	25,7631 ms 14/11	P: 0,5000-0,6391-1,0000
172. E1/E2 	33 / 2	23,6242 ms 12/10	P: 0,5000-0,6391-1,0000
173. E1/E2 	23 / 1	23,9996 ms 13/10	P: 0,5000-0,6391-1,0000
174. E1/E2 	28 / 0	24,2992 ms 13/10	P: 0,5000-0,6391-1,0000
175. E1/E2 	35 / 0	23,2773 ms 12/10	P: 0,5000-0,6391-1,0000
176. E1/E2 	22 / 0	24,1277 ms 13/10	P: 0,5000-0,6391-1,0000
177. E1/E2 	25 / 1	23,662 ms 12/10	P: 0,5000-0,6391-1,0000
178. E1/E2 	29 / 0	24,2925 ms 13/11	P: 0,5000-0,6391-1,0000
179. E1/E2 	30 / 0	25,1229 ms 14/10	P: 0,5000-0,6391-1,0000
180. E1/E2 	24 / 0	23,0603 ms 12/11	P: 0,5000-0,6391-1,0000
181. E1/E2 	26 / 1	26,7109 ms 15/10	P: 0,5000-0,6391-1,0000
182. E1/E2 	31 / 1	23,7963 ms 12/11	P: 0,5000-0,6391-1,0000
183. E1/E2 	16 / 1	24,7567 ms 13/11	P: 0,5000-0,6391-1,0000
184. E1/E2 	22 / 0	24,1724 ms 13/10	P: 0,5000-0,6391-1,0000
185. E1/E2 	26 / 0	22,4638 ms 12/10	P: 0,5000-0,6391-1,0000
186. E1/E2 	25 / 2	24,5298 ms 13/10	P: 0,5000-0,6391-1,0000
187. E1/E2 	19 / 1	26,9664 ms 16/10	P: 0,5000-0,6391-1,0000
188. E1/E2 	31 / 0	24,4784 ms 13/11	P: 0,5000-0,6391-1,0000
189. E1/E2 	25 / 1	25,0376 ms 14/10	P: 0,5000-0,6391-1,0000
190. E1/E2 	23 / 0	23,6013 ms 13/10	P: 0,5000-0,6391-1,0000
191. E1/E2 	17 / 0	24,4066 ms 13/10	P: 0,5000-0,6391-1,0000
192. E1/E2 	33 / 2	25,8985 ms 15/10	P: 0,5000-0,6390-1,0000
193. E1/E2 	73 / 3	24,4239 ms 13/11	P: 0,5000-0,6393-1,0000
194. E1/E2 	134 / 10	26,6322 ms 13/11	P: 0,5000-0,6391-1,0000
195. E1/E2 	112 / 7	24,9149 ms 13/10	P: 0,5000-0,6398-1,0000
196. E1/E2 	103 / 5	25,0312 ms 13/10	P: 0,5000-0,6403-1,0000
197. E1/E2 	81 / 4	26,0784 ms 14/10	P: 0,5000-0,6403-1,0000
198. E1/E2 	114 / 5	24,1893 ms 12/10	P: 0,5000-0,6396-1,0000
199. E1/E2 	147 / 5	24,9611 ms 13/10	P: 0,5000-0,6403-1,0000
200. E1/E2 	107 / 5	24,1202 ms 12/10	P: 0,5000-0,6406-1,0000
201. E1/E2 	102 / 6	24,7033 ms 13/10	P: 0,5000-0,6406-1,0000
